old_sheet_path,kind,state,new_texture_path,source_cell_column,source_cell_row,output_dimensions,status
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-bottom-ctm.png,tbs,standard_bottom_cornerless,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm_cornerless.png,0,0,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-bottom-ctm.png,tbs,standard_bottom_vertical,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm_vertical.png,0,1,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-bottom-ctm.png,tbs,standard_bottom_horizontal,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm_horizontal.png,1,0,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-bottom-ctm.png,tbs,standard_bottom_corner,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm_corner.png,1,1,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-bottom-ctm.png,tbs,standard_bottom_none,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-bottom.png,not in sheet,not in sheet,16x16,reused existing non-connected texture
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm.png,tbs,standard_side_cornerless,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm_cornerless.png,0,0,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm.png,tbs,standard_side_vertical,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm_vertical.png,0,1,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm.png,tbs,standard_side_horizontal,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm_horizontal.png,1,0,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm.png,tbs,standard_side_corner,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm_corner.png,1,1,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side-ctm.png,tbs,standard_side_none,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-side.png,not in sheet,not in sheet,16x16,reused existing non-connected texture
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm.png,tbs,standard_top_cornerless,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm_cornerless.png,0,0,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm.png,tbs,standard_top_vertical,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm_vertical.png,0,1,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm.png,tbs,standard_top_horizontal,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm_horizontal.png,1,0,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm.png,tbs,standard_top_corner,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm_corner.png,1,1,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top-ctm.png,tbs,standard_top_none,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braced-top.png,not in sheet,not in sheet,16x16,reused existing non-connected texture
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braid-ctm.png,standard,standard_cornerless,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braid-ctm_cornerless.png,0,0,16x16,converted; old sheet deleted
src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braid-ctm.png,standard,standard_vertical,src/main/resources/assets/chisel/textures/block/acacia_planks/acacia_planks_braid-ctm_vertical.png,0,1,16x16,converted; old sheet deleted
